codigo_ruta,ruta,linea,itinerario,sentido,sistema,cuenca,municipio,longitud_shape
3001,C3-001,C3-001 Santa Gema - Aguacatala,C3-001 Aguacatala - Santa Gema,2,A,3,5001,6702.099775801162
3001,C3-001,C3-001 Santa Gema - Aguacatala,C3-001 Santa Gema - Aguacatala,1,A,3,5001,7106.375900506624
3002,C3-002,C3-002 Aguacatala - Bulerias,C3-002 Aguacatala,1,A,3,5001,7224.570769378598
3002,C3-002,C3-002 Aguacatala - Bulerias,C3-002 Bulerías Belén Rosales,2,A,3,5001,7554.847216901575
6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Estación Acevedo,1,A,6,5001,2443.5192265633946
3005,C3-005,C3-005 Belén Aguas Frías - UDM,C3-005 Aguas Frías,2,A,3,5001,5134.749293909411
3005,C3-005,C3-005 Belén Aguas Frías - UDM,C3-005 Universidad de Medellín,1,A,3,5001,5251.104794145259
3006,C3-006,C3-006 Violetas - UDM - Villa Café,C3-006 Las Violetas Morro - UDM - Villa Café,3,A,3,5001,4313.933688113397
3007,C3-007,C3-007 La Palma - Loma de los Bernal,C3-007 La Palma - Loma de Los Bernal,2,A,3,5001,3539.5063535425857
6003,C6-003,C6-003 Campo Valdés - Estación Hospital,C6-003 Estación Hospital,1,A,6,5001,3437.981848905585
6004,C6-004,C6-004 Reserva del Seminario - Estación Exposiciones,C6-004 Estación Exposiciones,1,A,6,5001,6488.512911007047
6004,C6-004,C6-004 Reserva del Seminario - Estación Exposiciones,C6-004 Reserva del Seminario,2,A,6,5001,6816.404006087167
3007,C3-007,C3-007 La Palma - Loma de los Bernal,C3-007 Loma de Los Bernal - La Palma,1,A,3,5001,4421.250363542474
3008,C3-008,C3-008 La Serranía - Rosales,C3-008 La Serranía - Rosales,1,A,3,5001,4001.4856312739366
3008,C3-008,C3-008 La Serranía - Rosales,C3-008 Rosales - La Serranía,2,A,3,5001,4291.160067924396
6006,C6-006,C6-006 Villa Liliam - Estación Alejandro Echavarría,C6-006 Estación Alejandro Echavarría,1,A,6,5001,1309.6628251912368
6001,C6-001,C6-001 Santa Rita - Estación Acevedo,C6-001 Zamora Santa Rita,2,A,6,5001,3149.7857903231798
6014,C6-014,C6-014 La Ladera - Prado,C6-014 La Ladera,2,A,6,5001,2636.6727567475414
6014,C6-014,C6-014 La Ladera - Prado,C6-014 Prado,1,A,6,5001,2499.0916517100914
6016,C6-016,C6-016 Nuevo Horizonte - Estación Hospital,C6-016 Estación Hospital,1,A,6,5001,6538.794367535455
